Q,link,category
Исследование возможности создания облаков  при помощи аэрозоля и энергии солнечного излучения,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-vozmoznosti-stimulirovania-oblacnoj-konvekcii,['Метеорология']
Сборник трудов Инженерные системы 2018,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2018-sbornik,"['Сетка', 'судостроение', 'Турбулентность', 'ЭМГД']"
Моделирование конвективных атмосферных течений большого масштаба в ПК FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-konvektivnykh-atmosfernykh-techenij-bolshogo-masshtaba-v-pk-flowvision,"['Наука', 'Метеорология']"
Российское решение для FSI: FlowVision и APM WinMachine,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fsi-flowvision-apm,[]
Стремление к развитию,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/stremlenie-k-razvitiyu,['Междисциплинарные задачи']
Оценка эффективности проведения процедуры TAVR,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/tavr-simulation,"['Медицина', 'Биомеханика']"
FlowVision в биомеханике,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fv-bioengineering,"['Медицина', 'Биомеханика']"
Сборник трудов Инженерные системы 2017,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2017-sbornik,['Междисциплинарные задачи']
Математическое моделирование склоновых потоков с учетом неньютоновских свойств движущейся среды,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/slope-flows-ru,"['Наука', 'Экология', 'Строительство']"
Исследование масштабируемости FlowVision на кластере с интерконнектом Ангара,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/angara-flowvision-2017,"['Наука', 'Междисциплинарные задачи', 'параллельные вычисления']"
Моделирование тепловых режимов радиоэлектронной аппаратуры,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/radio-electro-flow,"['Междисциплинарные задачи', 'Электротехника']"
Численное моделирование внешнего обтекания спортсмена,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-vneshnego-obtekaniya-sportsmena,"['спорт', 'другое']"
Исследование возможности создания облаков  при помощи аэрозоля и энергии солнечного излучения,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-vozmoznosti-stimulirovania-oblacnoj-konvekcii,['Метеорология']
