Q,link,category,cat_link
Валидационные расчеты задач гемодинамики с использованием ПК FlowVision в режиме распараллеливания,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/validatsionnie-raschety-zadach-gemodynamiki,['Медицина'],['/ru/component/tags/tag/meditsina']
Исследование возможности создания облаков  при помощи аэрозоля и энергии солнечного излучения,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-vozmoznosti-stimulirovania-oblacnoj-konvekcii,['Метеорология'],['/ru/component/tags/tag/meteorologiya']
Сборник трудов Инженерные системы 2018,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2018-sbornik,"['Сетка', 'судостроение', 'Турбулентность', 'ЭМГД']","['/ru/component/tags/tag/setka', '/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/turbulentnost', '/ru/component/tags/tag/emgd']"
Моделирование конвективных атмосферных течений большого масштаба в ПК FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-konvektivnykh-atmosfernykh-techenij-bolshogo-masshtaba-v-pk-flowvision,"['Наука', 'Метеорология']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/meteorologiya']"
Российское решение для FSI: FlowVision и APM WinMachine,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fsi-flowvision-apm,[],[]
Стремление к развитию,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/stremlenie-k-razvitiyu,['Междисциплинарные задачи'],['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi']
Оценка эффективности проведения процедуры TAVR,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/tavr-simulation,"['Медицина', 'Биомеханика']","['/ru/component/tags/tag/meditsina', '/ru/component/tags/tag/biomekhanika']"
FlowVision в биомеханике,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fv-bioengineering,"['Медицина', 'Биомеханика']","['/ru/component/tags/tag/meditsina', '/ru/component/tags/tag/biomekhanika']"
Сборник трудов Инженерные системы 2017,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2017-sbornik,['Междисциплинарные задачи'],['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi']
Математическое моделирование склоновых потоков с учетом неньютоновских свойств движущейся среды,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/slope-flows-ru,"['Наука', 'Экология', 'Строительство']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/ekologiya', '/ru/component/tags/tag/stroitelstvo']"
Исследование масштабируемости FlowVision на кластере с интерконнектом Ангара,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/angara-flowvision-2017,"['Наука', 'Междисциплинарные задачи', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Моделирование тепловых режимов радиоэлектронной аппаратуры,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/radio-electro-flow,"['Междисциплинарные задачи', 'Электротехника']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/elektrotekhnika']"
Численное моделирование внешнего обтекания спортсмена,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-vneshnego-obtekaniya-sportsmena,"['спорт', 'другое']","['/ru/component/tags/tag/sport', '/ru/component/tags/tag/drugoe']"
Расчет гидродинамических воздействий на возвращаемый аппарат при посадке на воду,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/raschet-gidrodinamicheskikh-vozdejstvij-na-vozvrashchaemyj-apparat-pri-posadke-na-vodu,"['судостроение', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/raketostroenie-i-opk']"
Верификация расчетных характеристик сверхзвуковых турбулентных струй,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/verifikatsiya-raschetnykh-kharakteristik-sverkhzvukovykh-turbulentnykh-struj,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
Потоки углового момента во вращающемся слое с локализованным нагревом,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/potoki-uglovogo-momenta-vo-vrashchayushchemsya-sloe-s-lokalizovannym-nagrevom,"['Наука', 'Метеорология']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/meteorologiya']"
Опыт использования программного комплекса FlowVision в преподавании курса гидромеханики в Волжской государственной академии водного транспорта,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opyt-ispolzovaniya-programmnogo-kompleksa-flowvision-v-prepodavanii-kursa-gidromekhaniki-v-volzhskoj-gosudarstvennoj-akademii-vodnogo-transporta,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Моделирование свободной конвекции у однорядного вертикального пучка горизонтальных труб,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-svobodnoj-konvektsii-u-odnoryadnogo-vertikalnogo-puchka-gorizontalnykh-trub,"['судостроение', 'Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Применение программного комплекса FlowVision в исследованиях конвективных потоков,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-kompleksa-flowvision-v-issledovaniyakh-konvektivnykh-potokov,"['Наука', 'Энергомашиностроение']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie']"
Газодинамические явления при импульсном неоднородном энерговкладе,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/gazodinamicheskie-yavleniya-pri-impulsnom-neodnorodnom-energovklade,"['Наука', 'Энергомашиностроение']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie']"
Численное моделирование задачи нагрева твердого тела с анизотропией коэффициентов теплопроводности при помощи FlowVision и Mathcad,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-zadachi-nagreva-tverdogo-tela-s-anizotropiej-koeffitsientov-teploprovodnosti-pri-pomoshchi-flowvision-i-mathcad,"['Энергомашиностроение', 'Междисциплинарные задачи', 'Электротехника']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/elektrotekhnika']"
Моделирование процесса формирования водяной завесы средствами FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-protsessa-formirovaniya-vodyanoj-zavesy-sredstvami-flowvision,"['другое', 'пожарная безопасность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/pozharnaya-bezopasnost']"
Опыт применения FlowVision для расчета аэродинамического сопротивления автобусов в колонне,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opyt-primeneniya-flowvision-dlya-rascheta-aerodinamicheskogo-soprotivleniya-avtobusov-v-kolonne,['Автомобилестроение'],['/ru/component/tags/tag/avtomobilestroenie']
Исследование динамики автоколебательного низкочастотного гидравлического привода,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-dinamiki-avtokolebatelnogo-nizkochastotnogo-gidravlicheskogo-privoda,"['Энергомашиностроение', 'гидравлика', 'нефтехимическое производство']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/gidravlika', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo']"
Моделирование гидродинамики течения охладителя и теплообмена в пористых компактных теплообменных аппаратах с использованием программного комплекса FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-gidrodinamiki-techeniya-okhladitelya-i-teploobmena-v-poristykh-kompaktnykh-teploobmennykh-apparatakh-s-ispolzovaniem-programmnogo-kompleksa-flowvision,"['Энергомашиностроение', 'Электротехника']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/elektrotekhnika']"
Методика оптимизации теплообменника зерносушильного комплекса с помощью программных комплексов FlowVision и IOSO,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/metodika-optimizatsii-teploobmennika-zernosushilnogo-kompleksa-s-pomoshchyu-programmnykh-kompleksov-flowvision-i-ioso,"['другое', 'Энергомашиностроение', 'Легкая и пищевая промышленность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/legkaya-i-pishchevaya-promyshlennost']"
Задачи оптимизации технических изделий и процессов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/zadachi-optimizatsii-tekhnicheskikh-izdelij-i-protsessov,"['Междисциплинарные задачи', 'оптимизация', 'тяжелая промышленность']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/optimizatsiya', '/ru/component/tags/tag/tyazhelaya-promyshlennost']"
